feature,importance
ORGANIZATION_TYPE_Industry__type_10,0.0
ORGANIZATION_TYPE_Industry__type_4,0.0
ORGANIZATION_TYPE_Industry__type_6,0.0
ORGANIZATION_TYPE_Industry__type_5,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.0
POS_SK_DPD_MIN,0.0
ORGANIZATION_TYPE_Industry__type_7,0.0
ORGANIZATION_TYPE_Industry__type_8,0.0
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Agriculture,0.0
OCCUPATION_TYPE_Private_service_staff,0.0
OCCUPATION_TYPE_IT_staff,0.0
OCCUPATION_TYPE_HR_staff,0.0
POS_SK_DPD_DEF_MIN,0.0
OCCUPATION_TYPE_Waiters_barmen_staff,0.0
OCCUPATION_TYPE_Security_staff,0.0
OCCUPATION_TYPE_Realty_agents,0.0
OCCUPATION_TYPE_Secretaries,0.0
NAME_TYPE_SUITE_Group_of_people,0.0
NAME_EDUCATION_TYPE_Academic_degree,0.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
FLAG_EMP_PHONE,0.0
FLAG_MOBIL,0.0
